area,category,name,phone
"Ashbourne, Dublin",Solar Energy,All Attic Conversion Solar Panels,(087)0520035
"Ashbourne, Dublin",Artists,AHLYN - Ryan,(085)1450170
"Ashbourne, Dublin",Control Systems - Electrical,Industrial Control Panels Ltd,(01)8499469
"Ashbourne, Dublin",Windscreen Replacement,AutoGlass,(01)8748788
"Ashbourne, Dublin",Windscreen Replacement,Ashbourne Windscreen Centre,(086)8317166
"Ashbourne, Dublin",Taxis & Taxicabs,Ashbourne Cab Co,(01)8010902
"Ashbourne, Dublin",Taxis & Taxicabs,Pat Mr Mc Keown,(087)2405296
"Ashbourne, Dublin",Taxis & Taxicabs,Village Cab,(01)8350869
"Ashbourne, Dublin",Meats - Wholesale,Mountview Foods Ltd,(01)8359090
"Ashbourne, Dublin",Meats - Wholesale,Keelaghan Wholesale Meats,(01)8352969
"Ashbourne, Dublin",Laboratory Equipment & Supplies,Laboratory Instruments & Supplies (I) Ltd,(01)8352036
"Ashbourne, Dublin",Laboratory Equipment & Supplies,Chemical Systems Control Ltd,(01)8351311
"Ashbourne, Dublin",Laboratory Equipment & Supplies,Airflow Monitoring Systems Ltd,(01)8351282
"Ashbourne, Dublin",Hackney Cars,Ash Cab,(01)8352366
"Ashbourne, Dublin","Frozen Foods Manufacturers, Importers & Distrs.",Seafresh,(01)8353673
"Ashbourne, Dublin","Frozen Foods Manufacturers, Importers & Distrs.",Matthews Frozen Foods,(01)8350775
"Ashbourne, Dublin",Data Communications,Vision Data & Electrical Solutions,(01)8010090
"Ashbourne, Dublin",Conveyors & Conveyor Systems,Electrographic International,(01)8350850
"Ashbourne, Dublin",Colour & Fashion Consultant,Niamh Courtney,(01)8530808
"Ashbourne, Dublin",Car Dismantlers,B.S. Parts Ltd,(01)8352107
"Ashbourne, Dublin",Car Dismantlers,Japanese Autospares,(01)8351740
"Baldonnell, Dublin",School Supplies,Toomey Audio Visual Ltd,(01)4660515
"Baldonnell Business Park, Dublin",Welding Equipment & Supplies,Metron Welding Supplies,(01)4660500
"Baldonnell, Dublin",Windows,Tradecraft Building Products ltd,(01)4586233
"Baldonnell, Dublin",Sound Equipment & Systems - Hire,Digisound Audio Visual,(01)4133892
"Baldonnell, Dublin",Internet Services,Route 2 Solutions,(01)4105006
"Baldonnell, Dublin",Car Dealers - New & Used,Baldonnell Motor Group,(01)4698708
"Baldonnell, Dublin",Computers,Simply Dynamics,(01)6420600
"Baldonnell, Dublin",Music Systems,Pure Music,(01)4643012
"Baldonnell, Dublin",Audiovisual Equipment,Toomay Audiovisual,(01)4660524
"Baldonnell, Dublin",Fasteners,RFS The Fastener Company,(01)4663822
"Baldonnell, Dublin",Lifts,Atlas Elevator,(01)4032730
"Baldonnell, Dublin",Printing,Snap Printing,(01)6420088
"Baldonnell, Dublin","Letting Agents - Apartments, Flats & Houses",City Properties,(01)4595941
"Baldonnell, Dublin",Shutters,Dimension Engineering Ltd,(01)4586250
"Baldonnell, Dublin",Commercial Vehicles - Accessories & Parts,Continental Truck Spares Ltd,(1890)941347
"Baldonnell, Dublin",Hospital Equipment & Supplies,Medray Imaging Systems,(01)4663773
"Baldonnell, Dublin",Govt Dept - Defence,Dept of Defence Air Corps,(01)4037800
"Baldonnell, Dublin",Commercial Vehicles - Accessories & Parts,Continental Truck Spares Ltd,(1890)941346
"Baldonnell, Dublin",Tiles,Oxley Keartland (W) Ltd,(01)4105592
"Baldonnell, Dublin",Shutters,Kerr Shutters,(01)4592202
"Baldonnell, Dublin",Pressure Cleaning Equipment,Triace Ltd,(01)4660242
"Baldonnell, Dublin",Office Furniture & Equipment,Breton Contracts Ireland,(01)4663927
"Baldonnell, Dublin",Gutters,Aqua Roof,(1850)200556
"Arbour Hill, Dublin",Solicitors,Alison Brennan & Company,(01)7994538
"Baldonnell Business Park, Dublin",Water Treatment,Industrial Water Management Ltd,(01)4105033
"Baldonnell Business Park, Dublin",Commercial Vehicles, DAF Distributors Ireland Ltd ,(01)4034141
"Baldonnell Business Park, Dublin",Car Dealers - New & Used,Baldonnell Motor Group,(01)4698706
"Baldonnell Business Park, Dublin",Fashion Accessories,RBS Sunglasses Ltd,(01)4105832
"Baldonnell Business Park, Dublin",Catering Equipment,Cremona Foods,(1890)908264
"Baldonnell Business Park, Dublin",Blinds - Window,Prism Screens Ltd,(01)4105833
"Baldonnell Business Park, Dublin",Furniture,Annesborough Furniture,(01)4105885
"Baldonnell Business Park, Dublin",Electrical Equipment & Supplies,Chronotherm Controls Ltd,(01)4105756
"Baldonnell Business Park, Dublin",Freight Forwarding & Warehousing,Air Aqua Forwarding Ltd,(01)4663750
"Baldonnell Business Park, Dublin",Paper & Board Merchants,Paper Assist,(01)4660571
"Baldonnell Business Park, Dublin",Courier Service,Trans X Logistics,(01)4628814
"Baldonnell Business Park, Dublin",Electric Motors,G E S Automation Ireland,(01)4133937
"Baldonnell Business Park, Dublin",Video Tapes & Accessories - Distributors,Protec Media Distribution Limited,(01)4286456
"Baldonnell Business Park, Dublin",Packaging Materials,R L Packaging Ltd,(01)4660077
"Baldonnell Business Park, Dublin",Pharmaceutical & Chemists - Wholesale,Jasmine Distributors Ltd,(01)4661134
"Baldonnell Business Park, Dublin",Packaging Service,Stephen Gould Of Ireland Ltd,(01)6309509
"Baldonnell Business Park, Dublin",Manufacturers' Agents & Distributors,Kielys Distributors Limited,(01)4033500
"Baldonnell, Dublin",Gutters,Advance UPVC,(087)7906198
"Baldonnell, Dublin",Gutters,Galedown International,(087)8261109
"Baldonnell, Dublin",Gutters,Aqua Roof,(01)4595539
"Baldonnell, Dublin",Engineers - Agents,Transmission Engineering Sales,(01)4591869
"Baldonnell, Dublin",Electric Generators,D.E. Generator Hire,(1850)200442
"Baldonnell, Dublin",Electric Generators,D.E. Generator Hire,(1850)946296
"Baldonnell, Dublin",Electric Generators,D.E. Generator Hire,(1850)200441
"Baldonnell, Dublin",Electric Generators,  D.E. Generator Hire,(1850)200439
"Baldonnell, Dublin",Electric Generators,D.E. Generator Hire,(1850)200564
"Baldonnell, Dublin",Disabled Persons Products & Services,Orthorest Backcare,(01)4594777
"Baldonnell, Dublin",Design & Development Engineers,Precise Design Solutions,(01)4660049
"Baldonnell, Dublin",Controls & Regulators,Seebeck Controls Ltd,(01)4595600
"Baldonnell, Dublin",Civil Engineering - Contractors,Group Waterworks Ltd,(01)4591422
"Baldonnell, Dublin",Ceiling Contractors,Walls To Workstations Ltd,(01)6420050
"Baldonnell, Dublin",Car Dealers - New & Used,CJ Ireland Concessionaries Ltd,(01)4034100
"Baldonnell, Dublin",Car Dealers - New & Used,Daihatsu Ireland Ltd,(01)4562777
"Baldonnell, Dublin",Car Dealers - New & Used,Hispano Cars Ltd,(01)4698700
"Baldonnell, Dublin",Car And Four x Four Accessories,Polyforce Developments (Ireland) Ltd,(01)4640713
"Baldonnell, Dublin",Beauty Salon Equipment & Supplies,International Spa & Salon Services,(01)4641420
"Baldonnell, Dublin",Bearings & Bushes,Fox E (Engineers) Ltd,(01)4693500
"Baldonnell, Dublin",Asphalt Manufacturers & Contractors,SIAC Construction Ltd,(01)4663004
"Arbour Hill, Dublin",Solicitors,Maura Hurley Solicitors,(01)7994500
"Arbour Hill, Dublin",Takeaway Foods,Nardone Bruno,(01)8386332
"Arbour Hill, Dublin",Newsagents,Mascot The,(01)8387166
"Arbour Hill, Dublin",Associations & Institutes,Irish United Nations Veterans Association,(01)6791262
"Arbour Hill, Dublin",Bicycles,City Cycles,(01)6400900
"Arbour Hill, Dublin",Dental Laboratories,Simon Dental Laboratories Ltd,(01)4741042
"Arbour Hill, Dublin",Hairdressers - Ladies,Linda's Hair Salon,(01)8387973
"Arbour Hill, Dublin",Health Centres,Renewyou,(086)1685828
"Arbour Hill, Dublin",Crash Repairs,Moore & Murray Ltd,(01)6716232
"Arbour Hill, Dublin",Company Formation,Law Society,(01)6724800
"Arbour Hill, Dublin",City & County Councils,Aughrim Street Sports Hall,(01)8388085
"Arbour Hill, Dublin",Furniture,Preloved Furniture,(01)6759705
"Arbour Hill, Dublin",Gates,Baxter Philip,(01)8644379
"Arbour Hill, Dublin",Beauty Salons,Top to Toe,(01)8388537
"Baldonnell Business Park, Dublin",Jewellers - Wholesale,Ballou Sales Ltd,(01)4661950
"Baldonnell Business Park, Dublin",Jewellers - Manufacturing,Celtic & Heraldic Jewellers,(01)4123620
"Baldonnell Business Park, Dublin",Engineers - Consulting,D.P.S. Engineering & Construction Ltd,(01)4661700
"Baldonnell Business Park, Dublin",Electrical Contractors - Industrial,O'Kane Engineering Ltd,(01)4693000
"Baldonnell Business Park, Dublin",Boats - Builders & Repairers,Marine & Industrial Dist. Co. Ltd,(01)4592170
"Baldonnell Business Park, Dublin",Boats - Builders & Repairers,Marine & Industrial Dist. Co. Ltd,(01)4663786
"Baldonnell Business Park, Dublin",Belting,Fox E (Engineers) Ltd,(01)4693500
"Baldonnell Business Park, Dublin",Art Galleries,Green Wall Gallery,(01)6422200
"Baldonnell, Dublin",Artists' Supplies,Hill Agencies Ltd,(01)4135830
"Baldonnell, Dublin",Air Conditioning Equipment,Control Technology Ltd,(01)4594655
"Balgaddy, Dublin",Tyres,Quick Pit Tyres,(01)4577270
"Balgaddy, Dublin",Motor Factors,P & P Motor Factors,(01)4573616
"Arbour Hill, Dublin",Hairdressers - Ladies,Peacock Rooms The,(01)8684498
"Arbour Hill, Dublin",Hairdressers - Ladies,Doras Hair Creations,(01)8386662
"Arbour Hill, Dublin",Schools & Colleges - National,St Gabriels Boys N S,(01)8384853
"Arbour Hill, Dublin",Govt Dept - Defence,Dept of Defence St Bricins Hospital,(01)8046990
"Arbour Hill, Dublin",Video Photography,Profile Pictures,(01)6719729
"Arbour Hill, Dublin",Timber,Kantor D Ltd,(01)6716433
"Arbour Hill, Dublin",Surveyors - Building,CityWide Building Surveyors,(01)8386478
"Arbour Hill, Dublin",Statistical Services,SaorStat Ltd,(01)6710922
"Arbour Hill, Dublin",Sewing Machines,Higgins Sean Sewing Machines,(086)2558675
"Arbour Hill, Dublin",Sewing Machines,S H Sewing Machines,(01)8387421
"Arbour Hill, Dublin",Record Companies,Superemo Recordings Ltd,(01)6717393
"Arbour Hill, Dublin",Publishers & Publications,Lilliput Press The,(01)6711647
"Arbour Hill, Dublin",Paging Systems & Services,BP Multipage Ltd,(01)6708555
"Arbour Hill, Dublin",Overalls,Ard Products,(087)6681866
"Arbour Hill, Dublin",Optical Goods - Wholesale,Montpelier Optical Ltd ,(01)6795722
"Arbour Hill, Dublin",Off Licences & Wine Stores,Pats Corner Shop,(01)8386403
"Arbour Hill, Dublin",Motor Factors,Motorparts Ltd,(01)8388222
"Arbour Hill, Dublin",Motor Cycles & Scooters,Modern & Classic Scooters,(01)6586570
"Arbour Hill, Dublin",Public Relations Consultants,Ignite P R & Marketing,(01)6704500
"Arbour Hill, Dublin",Lotteries,Rehab Lotteries Ltd,(01)6797088
"Arbour Hill, Dublin",Language Schools & Courses,Joyce Language School,(01)6337947
"Arbour Hill, Dublin",Interior Decorators,Decorative Arts Centre The,(01)8729697
"Arbour Hill, Dublin",Insulation Materials,Morris Insulations,(01)6793355
"Arbour Hill, Dublin","House Alterations, Extensions & Repairs",Smyth Construction,(087)7607360
"Arbour Hill, Dublin",Grinding & Sharpening Service,City Saw Services Ltd,(01)8383935
"Arbour Hill, Dublin",Glass - Stained,McLoughlin Dermot,(01)6719568
"Arbour Hill, Dublin",Gates,Baxter Philip,(01)6774991
"Arbour Hill, Dublin",Garages,O'Leary Motors,(01)8389273
"Arbour Hill, Dublin",Garages,T. I. Auto Engineers Ltd,(01)8386567
"Arbour Hill, Dublin",Garages,S D P Motors,(01)6778155
"Arbour Hill, Dublin",French Polishers,Adams P. & Daughter,(01)6771960
"Arbour Hill, Dublin","Fireplaces, Equipment & Accessories",Paramount Distributors,(01)6777474
"Arbour Hill, Dublin",Exhibition Organisers,McCrum Sean,(01)6793279
"Arbour Hill, Dublin",Engineers - Consulting,Mooney Stephen & Associates,(01)6707366
"Arbour Hill, Dublin",Engineers - Consulting,Petrocourt Ltd,(01)8102381
"Arbour Hill, Dublin",Electric Motors - Repairing,Broadstone Electrical Services,(01)6771316
"Arbour Hill, Dublin",Computer Maintenance & Repairs,Petroff Mr Basil,(086)0735323
"Arbour Hill, Dublin",Company Formation,Law Society,(01)6724914
"Arbour Hill, Dublin",Coffee Importers & Merchants,AD Distribution,(01)6139828
"Arbour Hill, Dublin",Clothing - Wholesale,Nutmeg Clothing,(01)6712394
"Arbour Hill, Dublin",Closed Circuit Television,Bergin Lee,(086)2718866
"Arbour Hill, Dublin",Churches,Greek Orthodox Church,(01)6779020
"Arbour Hill, Dublin",Chiropodists,Daly Rory M.C.S.Ch.I.,(01)8388907
"Arbour Hill, Dublin",Cards - Memorial,Bolton Print Centre,(01)8388810
"Arbour Hill, Dublin",Car And Four x Four Accessories,Car Radio Centre,(01)6334722
"Arbour Hill, Dublin",Car & Commercial Electrical Services,Shandon Auto Electrics,(01)8380219
"Arbour Hill, Dublin",Burglar Alarms & Security Systems,Begin Lee,(01)8685136
"Arbour Hill, Dublin",Boilers - Maintenance,Heatwell Heating Systems,(01)6704888
"Arbour Hill, Dublin",Bakers & Confectioners,Death By Chocolate,(01)6174806
"Arbour Hill, Dublin",Greeting Cards,Irish Charity Cards,(01)6791213
"Arbour Hill, Dublin",Artists,Gannon James,(01)8389450
"Arbour Hill, Dublin",Architects,Building Design Partnership,(01)4740600
"Arbour Hill, Dublin",Architects,Walsh CJ,(01)8386078
"Arbour Hill, Dublin",Acupuncture,Thew Nin,(01)6799265
"Baldoyle Industrial Estate, Dublin",Printing,AD & D Printing Ltd,(01)8063134
"Baldoyle Industrial Estate, Dublin",Heating Contractors - Domestic,Geo-Thermal Loop Co,(01)8392418
"Baldoyle Industrial Estate, Dublin",Freight Agents,A&D Freight Ltd,(01)8322694
"Baldoyle Industrial Estate, Dublin",Car Dealers - New & Used,McHenry Car Sales Ltd,(01)8324292
"Baldoyle Industrial Estate, Dublin",Printing Equipment & Supplies,"Resource P.F.S., Finishing Supplies",(01)8167070
"Baldoyle Industrial Estate, Dublin",Builders - General Contractors,Construction Enterprise,(01)8167689
"Baldoyle Industrial Estate, Dublin",Picture Frames, Arthouse Solutions ,(01)8167647
"Baldoyle Industrial Estate, Dublin",Musical Instruments - Manufacturers & Wholesale,Irish Musical Instruments.com,(1890)941644
"Baldoyle Industrial Estate, Dublin",Blinds - Manufacturing,Baldoyle Blinds Ltd,(01)8395319
"Baldoyle Industrial Estate, Dublin",Furniture - Built-In & Fitted,Mr. Wardrobe,(1890)947469
"Baldoyle Industrial Estate, Dublin",Curtains,Curtain World,(01)8394515
"Baldoyle Industrial Estate, Dublin",Picture Frames - Manufacturing & Wholesale,Frame Factory,(1890)941643
"Baldoyle Industrial Estate, Dublin",Paving & Kerbing Contractors,AC Paving,(087)6655737
"Baldoyle Industrial Estate, Dublin",Sports Clubs & Associations,Arabian Gymnastics,(01)8063444
"Baldoyle Industrial Estate, Dublin",Printing - Machinery,Litho Supplies Ltd,(01)8391360
"Baldoyle Industrial Estate, Dublin",Gear Boxes,Euro Clutch Centre,(01)8324695
"Baldoyle Industrial Estate, Dublin",Adhesives,Waller & Wickham Ltd,(01)8392330
"Baldoyle Industrial Estate, Dublin",Picture Frames - Manufacturing & Wholesale,Frame Factory,(01)8322432
"Baldoyle Industrial Estate, Dublin",Garages,Auto Tech,(01)8396163
"Baldoyle Industrial Estate, Dublin",Paving & Kerbing Contractors,AC Paving,(01)8671588
"Baldoyle Industrial Estate, Dublin","Security Devices, Seals & Tags",Checkstock Security Systems,(01)8320080
"Baldoyle Industrial Estate, Dublin",Musical Instruments - Manufacturers & Wholesale,Irish Musical Instruments.com,(1890)941645
"Baldoyle Industrial Estate, Dublin",Printing,Corbridge Print Ltd Baldoyle,(1890)941028
"Baldoyle Industrial Estate, Dublin",Engineers - Consulting,Roger Cagney Chartered Engineers,(01)8320755
"Baldoyle Industrial Estate, Dublin",Air Fresheners,PanFan Europe,(01)8396091
"Baldoyle Industrial Estate, Dublin",Burglar Alarms & Security Systems,A.B.S. Ltd,(01)8391189
"Baldoyle Industrial Estate, Dublin",Timber,Abbey Woods,(01)8393435
"Baldoyle Industrial Estate, Dublin",Printing,Corbridge Print Ltd Baldoyle,(1890)941029
"Baldoyle Industrial Estate, Dublin",Tax Consultants ,Bates & Co,(01)8167866
"Baldoyle Industrial Estate, Dublin",Abrasive Materials,Engineering Utilities Ireland,(01)8397945
"Baldoyle Industrial Estate, Dublin",Ventilation Equipment,Heydal Ireland Limited,(01)8326806
"Baldoyle Industrial Estate, Dublin",Vehicle Testing,Aiden Bermingham Fuel Injection Services,(01)8394580
"Baldoyle Industrial Estate, Dublin",Uniforms,David Thomas Designs,(01)8395775
"Baldoyle Industrial Estate, Dublin",Tyres- Equipment & Accessories,Tyre Bay Supplies Ireland,(01)8391045
"Baldoyle Industrial Estate, Dublin",Travel Agents & Tour Operators,R.T.S. Brochure Distribution Services,(01)8391488
"Baldoyle Industrial Estate, Dublin",Toilet Paper & Tissues,Brightline Ltd,(01)8322001
"Baldoyle Industrial Estate, Dublin",Surgical Supplies,M.E.D. Surgical Ltd,(01)8391511
"Baldoyle Industrial Estate, Dublin",Stationery - Manufacturing,Constant Bind Ltd,(01)8397022
"Baldoyle Industrial Estate, Dublin",Stationery - Manufacturing,Harlequin Crafts Ltd,(01)8390963
"Baldoyle Industrial Estate, Dublin",Spillage Control & Prevention,Pollution & Waste Services Ltd,(01)8391112
"Baldoyle Industrial Estate, Dublin",Signs,Monaghan Gerry Signs,(01)8392814
"Baldoyle Industrial Estate, Dublin",Sign Writers,Wayfinder Systems Ltd,(01)8326968
"Baldoyle Industrial Estate, Dublin",Sheet Metal Fabrication,H-Vac Hynes Ventilation & Air Cond. Ltd,(01)8326671
"Baldoyle Industrial Estate, Dublin",Safety Products,Cara Ireland,(01)8326878
"Baldoyle Industrial Estate, Dublin",Safety Products,Floor Safety Products Ltd,(01)8321409
"Baldoyle Industrial Estate, Dublin",Roofing Materials,Celuplast Conservatory Roofs Ltd,(01)8167970
"Baldoyle Industrial Estate, Dublin",Road Safety Equipment & Promotion,Carra Ireland Ltd,(01)8323955
"Baldoyle Industrial Estate, Dublin",Refrigeration Engineers,Premier Refrigeration,(01)8321438
"Baldoyle Industrial Estate, Dublin",Protective Clothing & Equipment,A1 Safetycare,(01)8394257
"Baldoyle Industrial Estate, Dublin",Printing Equipment & Supplies,Litho Supplies Ltd,(01)8321360
"Baldoyle Industrial Estate, Dublin",Point Of Sale,Byrne & O'Loughlin Ltd,(01)8325758
"Baldoyle Industrial Estate, Dublin",Photocopying & Duplicating Equipment,Photocopiers International Ltd,(01)8324844
"Baldoyle Industrial Estate, Dublin",Pet Shops - Supplies,Winning Ways Ltd,(01)8326099
"Baldoyle Industrial Estate, Dublin",Motor Factors - Wholesale,Howard B & R Ltd,(01)8320900
"Baldoyle Industrial Estate, Dublin",Management Consultants,Lambard Management Consultants,(01)8323238
"Baldoyle Industrial Estate, Dublin",Lighting Fixtures & Supplies,Lamp Source,(01)8394678
"Baldoyle Industrial Estate, Dublin",Knitted Goods - Manufacturing,Irelands Eye Knitwear Ltd,(01)8393145
"Baldoyle Industrial Estate, Dublin",Kitchen Cabinets & Units,Kane & Co,(01)8391877
"Baldoyle Industrial Estate, Dublin",Industrial Training,Mediterranean Training International Ltd,(01)8320192
"Baldoyle Industrial Estate, Dublin",Import Agents,Excellence Ltd,(01)8323300
"Baldoyle Industrial Estate, Dublin",Handbags - Wholesale,Lorrdale Bags,(01)8395771
"Baldoyle Industrial Estate, Dublin",Handbags - Manufacturing,Cara Bags Ltd,(01)8396535
"Baldoyle Industrial Estate, Dublin",Handbags - Wholesale,O'Hare A R & Co Ltd,(01)8391276
"Baldoyle Industrial Estate, Dublin",Grinding & Sharpening Service,Flanagan S J Ltd,(01)8321688
"Baldoyle Industrial Estate, Dublin",Glass,Baldoyle Glass,(01)8325520
"Baldoyle Industrial Estate, Dublin",Fruit & Vegetables - Wholesale,Classicfresh Ltd,(01)8326015
"Baldoyle Industrial Estate, Dublin",Food Wrapping & Packaging,Lawco Packaging Ltd,(01)8326632
"Baldoyle Industrial Estate, Dublin",Fire Safety Consultants & Promotion,Management Graphics,(01)8326966
"Baldoyle Industrial Estate, Dublin",Fire Escapes,Spireco Engineering,(01)8395956
"Baldoyle Industrial Estate, Dublin",Fabrics,Upholstery Fabrics & Accessories Ltd,(01)8395709
"Baldoyle Industrial Estate, Dublin",Hire - Tools & Equipment,H.E. Services Ltd,(01)8393600
"Baldoyle Industrial Estate, Dublin",Effluent Treatment Plant,Biocycle Ltd,(01)8391000
"Baldoyle Industrial Estate, Dublin",Ducting,M & K Engineering Ltd,(01)8390478
"Baldoyle Industrial Estate, Dublin",Drapers - Wholesale,Habtex Household Textiles,(01)8322726
"Baldoyle Industrial Estate, Dublin",Document Disposal Service,Aaron Shredding,(1800)326660
"Ballinteer, Dublin",Photographers,Mark Griffin Photo,(01)2963741
"Baldoyle Industrial Estate, Dublin",Conveyors & Conveyor Systems,Metal Masters Ltd,(01)8325165
"Baldoyle Industrial Estate, Dublin",Conveyors & Conveyor Systems,Jack O'Brien Conveyor Rollers Ltd,(01)8321437
"Baldoyle Industrial Estate, Dublin",Conveyor Belts,Fogarty F & P & Sons Ltd,(01)8391991
"Baldoyle Industrial Estate, Dublin",Site Investigations,Mattest,(01)8325731
"Baldoyle Industrial Estate, Dublin",Computing & Bureau Services,Nationwide Payroll Services,(01)8326850
"Baldoyle Industrial Estate, Dublin",Computer Training,Anchor Training,(01)8395005
"Baldoyle Industrial Estate, Dublin",Computer Stationery,Key Business Forms,(01)8321220
"Baldoyle Industrial Estate, Dublin",Computer Printers,Independent Photocopier Services,(01)8320930
"Baldoyle Industrial Estate, Dublin",Clothing - Manufacturing,Diversions Ltd,(01)8394366
"Baldoyle Industrial Estate, Dublin",Clothing - Manufacturers' Supplies,Morada International Ltd,(01)8391068
"Baldoyle Industrial Estate, Dublin",Civil Engineering - Contractors,Barnmore Demolition & Civil Engineering Ltd,(01)8395010
"Baldoyle Industrial Estate, Dublin",Chemicals,Heterochem (Dist.) Ltd,(01)8393127
"Baldoyle Industrial Estate, Dublin",Catering Equipment,CEES Ltd,(01)8392068
"Baldoyle Industrial Estate, Dublin",Cables - Fibre Optic,Kedington Group,(01)8325665
"Baldoyle Industrial Estate, Dublin",Buildings Prefabricated,Ultrakabin Ltd,(01)8321655
"Baldoyle Industrial Estate, Dublin",Building Materials - Manufacturing,Bild Industries,(01)8325958
"Baldoyle Industrial Estate, Dublin",Builders Providers - Materials,Grange Builders Providers,(01)8390193
"Baldoyle Industrial Estate, Dublin",Brochures,RTS Brochure Distribution,(01)8391486
"Baldoyle Industrial Estate, Dublin",Bookbinders,Alpha Bookbinding Co,(01)8320222
"Baldoyle Industrial Estate, Dublin",Blades & Knives - Industrial,International Industrial Supplies,(01)8326363
"Baldoyle Industrial Estate, Dublin",Bags & Sacks,Magnum Enterprises,(01)8392954
"Ballinteer, Dublin",Schools & Colleges - National,St Attracta's Junior National School,(01)2984352
"Ballinteer, Dublin",Flooring Contractors,Pat Howard Flooring,(01)4954061
"Ballinteer, Dublin",Windows,DK Windows & Doors,(087)4143976
"Ballinteer, Dublin",Design & Development Engineers,Barpete engineering solutions,(01)4509334
"Ballinteer, Dublin",Management Consultants,Kennedy Lucia Quality Monitoring Services,(01)2984470
"Ballinteer, Dublin",Fashion Agents & Distributors,Tom Tailor,(01)2608018
"Ballinteer, Dublin",Creches & Nursery Schools,Little Minnows Creche,(01)2965455
"Ballinteer, Dublin",Schools & Colleges - National,Our Lady's Boys National School,(01)4946647
"Ballinteer, Dublin",Counselling & Advisory Services,"McCann, Hilary",(086)3154397
"Ballinteer, Dublin",Builders - General Contractors,O'Connor J J & Sons,(01)2984754
"Ballinteer, Dublin",Global Positioning Systems,Globalstar Europe Satellite Services,(01)2990770
"Ballinteer, Dublin",Gift Shops - Suppliers,"Mator Trading Ltd, V Patrick",(01)2951305
"Ballinteer, Dublin",Builders - General Contractors,"O'Riordain, Daniel",(01)2989220
"Ballinteer, Dublin",Creches & Nursery Schools,Cool Kids Creche,(01)2951781
"Ballinteer, Dublin",Computer Software,Sheridan John Software Ltd,(01)4952318
"Baldoyle Industrial Estate, Dublin",Bags & Sacks,Irish Papers Ltd,(01)8393144
"Baldoyle Industrial Estate, Dublin",Associations & Institutes,Vantastic,(01)8392449
"Baldoyle Industrial Estate, Dublin",Airline & Aviation Services,Alpha Flight Services Irl Ltd,(01)8397314
"Baldoyle Industrial Estate, Dublin",Freight Forwarding & Warehousing,Air Transport Systems Ltd,(01)8391471
"Baldoyle Industrial Estate, Dublin",Air Conditioning Contractors,Spectrum Engineering Ltd,(01)8550722
"Baldoyle Industrial Estate, Dublin",Air Conditioning Contractors,Spectrum Engineering Ltd,(01)8398994
"Baldoyle Industrial Estate, Dublin",Air Conditioning Contractors,Compute-Air Ltd D.C.,(01)8392366
"Baldoyle Industrial Estate, Dublin",Aerial Photography & Surveys,Airshots.ie,(01)4361825
"Baldoyle Industrial Estate, Dublin",Solicitors,Quinn Solicitors office,(01)8063803
"Baldoyle, Dublin",Waste Disposal,Northside Recycling Ltd,(01)8323095
"Ballinteer, Dublin",Property Management,Professional Property Services,(01)2960830
"Ballinteer, Dublin",Post Offices,An Post,(01)2981874
"Ballinteer, Dublin",Management Training,Ascend,(01)2963575
"Ballinteer, Dublin",Dog Trainers,Animal Adventures,(01)4942635
"Ballinteer, Dublin",Locks & Locksmiths,Locksmith The,(01)4018187
"Ballinteer, Dublin",Post Offices,An Post,(01)8788067
